content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
Sangat membantu,4,Positif,sangat membantu,membantu,['membantu'],bantu
Bagus Apps ini sangat membantu,5,Positif,bagus apps ini sangat membantu,bagus apps membantu,"['bagus', 'apps', 'membantu']",bagus apps bantu
Kenapa saat verifikasi download saat masukkan no referal selalu gagal dan gagal solusinya bgm?,1,Negatif,kenapa saat verifikasi download saat masukkan no referal selalu gagal dan gagal solusinya bgm,verifikasi download masukkan no referal gagal gagal solusinya bgm,"['verifikasi', 'download', 'masukkan', 'no', 'referal', 'gagal', 'gagal', 'solusinya', 'bgm']",verifikasi download masuk no referal gagal gagal solusi bgm
"Waktu pengiriman ke Aceh perlu ditingkatkan, jgn via Medan lagi",5,Positif,waktu pengiriman ke aceh perlu ditingkatkan jgn via medan lagi,pengiriman aceh ditingkatkan jgn via medan,"['pengiriman', 'aceh', 'ditingkatkan', 'jgn', 'via', 'medan']",kirim aceh tingkat jgn via medan
Mantap 👍👍👍,5,Positif,mantap ,mantap,['mantap'],mantap
"mantappp, Jaya terus Pos Indonesia",5,Positif,mantappp jaya terus pos indonesia,mantappp jaya pos indonesia,"['mantappp', 'jaya', 'pos', 'indonesia']",mantappp jaya pos indonesia
Puas,5,Positif,puas,puas,['puas'],puas
"Pengiriman buruk bilangnya paling telat hari Jum'at, ini sampe hari Minggu gada kejelasan? Woe Pihak pos , ini dokumen penting!! Sampe telat pengiriman ini bisa Gagal acara pernikahan Saudara saya! Mikirlah, orang kerja kok lelet banget, di iming² cepat2 Halah taii! Pokonya saya gamau tau, sampe besok hari Minggu belom ada kejelasan, sya bisa adukan ini ke pihak yg berwenang.",1,Negatif,pengiriman buruk bilangnya paling telat hari jumat ini sampe hari minggu gada kejelasan woe pihak pos  ini dokumen penting sampe telat pengiriman ini bisa gagal acara pernikahan saudara saya mikirlah orang kerja kok lelet banget di iming cepat halah taii pokonya saya gamau tau sampe besok hari minggu belom ada kejelasan sya bisa adukan ini ke pihak yg berwenang,pengiriman buruk bilangnya telat jumat sampe minggu gada kejelasan woe pos dokumen sampe telat pengiriman gagal acara pernikahan saudara mikirlah orang kerja lelet banget iming cepat halah taii pokonya gamau tau sampe besok minggu belom kejelasan sya adukan yg berwenang,"['pengiriman', 'buruk', 'bilangnya', 'telat', 'jumat', 'sampe', 'minggu', 'gada', 'kejelasan', 'woe', 'pos', 'dokumen', 'sampe', 'telat', 'pengiriman', 'gagal', 'acara', 'pernikahan', 'saudara', 'mikirlah', 'orang', 'kerja', 'lelet', 'banget', 'iming', 'cepat', 'halah', 'taii', 'pokonya', 'gamau', 'tau', 'sampe', 'besok', 'minggu', 'belom', 'kejelasan', 'sya', 'adukan', 'yg', 'berwenang']",kirim buruk bilang telat jumat sampe minggu gada jelas woe pos dokumen sampe telat kirim gagal acara nikah saudara mikirlah orang kerja lelet banget iming cepat halah taii poko gamau tau sampe besok minggu bom jelas sya adu yg wenang
Lumayan,5,Positif,lumayan,lumayan,['lumayan'],lumayan
Mantaf model baru,5,Positif,mantaf model baru,mantaf model,"['mantaf', 'model']",mantaf model
Cepat dan tepat 🌟🌟🌟,5,Positif,cepat dan tepat ,cepat,['cepat'],cepat
"aplikasinya bagus, tapi pelayanan posnya mengecewakan. pengiriman stnk dari samsat ke penerima yg masih se Kabupaten aja lama sekali, lebih dari 4 hari blm nyampe juga, apalagi pengiriman yg jauh 🤦🏻 🤦🏻 🤦🏻",3,Netral,aplikasinya bagus tapi pelayanan posnya mengecewakan pengiriman stnk dari samsat ke penerima yg masih se kabupaten aja lama sekali lebih dari  hari blm nyampe juga apalagi pengiriman yg jauh   ,aplikasinya bagus pelayanan posnya mengecewakan pengiriman stnk samsat penerima yg kabupaten aja blm nyampe pengiriman yg,"['aplikasinya', 'bagus', 'pelayanan', 'posnya', 'mengecewakan', 'pengiriman', 'stnk', 'samsat', 'penerima', 'yg', 'kabupaten', 'aja', 'blm', 'nyampe', 'pengiriman', 'yg']",aplikasi bagus layan pos kecewa kirim stnk samsat terima yg kabupaten aja blm nyampe kirim yg
Mantap,5,Positif,mantap,mantap,['mantap'],mantap
3 aja min karena mau liat resi harus ke web kenapa tidak langsung di app pos aja kan ribet,3,Netral, aja min karena mau liat resi harus ke web kenapa tidak langsung di app pos aja kan ribet,aja min liat resi web langsung app pos aja ribet,"['aja', 'min', 'liat', 'resi', 'web', 'langsung', 'app', 'pos', 'aja', 'ribet']",aja min liat resi web langsung app pos aja ribet
"Dana cod saya masih nyangkut banyak banget belum masuk ke rekening .. udah komplain sana sini nggak ada hasil... Udah dari tahun 2021 sampe sekarng nggak kelar² ,,",1,Negatif,dana cod saya masih nyangkut banyak banget belum masuk ke rekening  udah komplain sana sini nggak ada hasil udah dari tahun  sampe sekarng nggak kelar ,dana cod nyangkut banget masuk rekening udah komplain nggak hasil udah sampe sekarng nggak kelar,"['dana', 'cod', 'nyangkut', 'banget', 'masuk', 'rekening', 'udah', 'komplain', 'nggak', 'hasil', 'udah', 'sampe', 'sekarng', 'nggak', 'kelar']",dana cod nyangkut banget masuk rekening udah komplain nggak hasil udah sampe sekarng nggak kelar
Belum di update harganya setelah pertamax naik Rp. 10.000,5,Positif,belum di update harganya setelah pertamax naik rp ,update harganya pertamax rp,"['update', 'harganya', 'pertamax', 'rp']",update harga pertamax rp
Gimana cara kirim ke luar negri? Kok gak ada fiturnya?,3,Netral,gimana cara kirim ke luar negri kok gak ada fiturnya,gimana kirim negri gak fiturnya,"['gimana', 'kirim', 'negri', 'gak', 'fiturnya']",gimana kirim negri gak fiturnya
"Dengan adanya aplikasi ini,bisa membantu masyarakat dalam proses pengiriman barang.terima kasih Pesan perlu ada postingan dimedia sosial,agar masyarakat dapat mengetahuinya,salam sehat.",5,Positif,dengan adanya aplikasi inibisa membantu masyarakat dalam proses pengiriman barangterima kasih pesan perlu ada postingan dimedia sosialagar masyarakat dapat mengetahuinyasalam sehat,aplikasi inibisa membantu masyarakat proses pengiriman barangterima kasih pesan postingan dimedia sosialagar masyarakat mengetahuinyasalam sehat,"['aplikasi', 'inibisa', 'membantu', 'masyarakat', 'proses', 'pengiriman', 'barangterima', 'kasih', 'pesan', 'postingan', 'dimedia', 'sosialagar', 'masyarakat', 'mengetahuinyasalam', 'sehat']",aplikasi inibisa bantu masyarakat proses kirim barangterima kasih pesan postingan media sosialagar masyarakat mengetahuinyasalam sehat
"Barcode seupil ga bisa di scan, Cek resi ga nongol",2,Negatif,barcode seupil ga bisa di scan cek resi ga nongol,barcode seupil ga scan cek resi ga nongol,"['barcode', 'seupil', 'ga', 'scan', 'cek', 'resi', 'ga', 'nongol']",barcode upil ga scan cek resi ga nongol
Tingkatkan lacak pengiriman,5,Positif,tingkatkan lacak pengiriman,tingkatkan lacak pengiriman,"['tingkatkan', 'lacak', 'pengiriman']",tingkat lacak kirim
Siap,5,Positif,siap,,[],
Tingkatkan,5,Positif,tingkatkan,tingkatkan,['tingkatkan'],tingkat
Ok,5,Positif,ok,ok,['ok'],ok
"Tinggal Update , pd saat barang di terima yang susah atau telat",5,Positif,tinggal update  pd saat barang di terima yang susah atau telat,tinggal update pd barang terima susah telat,"['tinggal', 'update', 'pd', 'barang', 'terima', 'susah', 'telat']",tinggal update pd barang terima susah telat
Sangat bermanfaat. Terima kasih lebih inovatif lagi 😊,5,Positif,sangat bermanfaat terima kasih lebih inovatif lagi ,bermanfaat terima kasih inovatif,"['bermanfaat', 'terima', 'kasih', 'inovatif']",manfaat terima kasih inovatif
mantap,5,Positif,mantap,mantap,['mantap'],mantap
Ok,1,Negatif,ok,ok,['ok'],ok
Pos aja ya gaess😘😘😘,5,Positif,pos aja ya gaess,pos aja ya gaess,"['pos', 'aja', 'ya', 'gaess']",pos aja ya gaess
sangat baguss,5,Positif,sangat baguss,baguss,['baguss'],baguss
Ok,5,Positif,ok,ok,['ok'],ok
sangat puas,5,Positif,sangat puas,puas,['puas'],puas
Sangat membantu saya dalam pekerjaan,5,Positif,sangat membantu saya dalam pekerjaan,membantu pekerjaan,"['membantu', 'pekerjaan']",bantu kerja
"pengiriman apaan ini lelettt bangettt,kek gak niat,cuma bojonegoro-tuban 2 hari gk dateng2",1,Negatif,pengiriman apaan ini lelettt bangetttkek gak niatcuma bojonegorotuban  hari gk dateng,pengiriman lelettt bangetttkek gak niatcuma bojonegorotuban gk dateng,"['pengiriman', 'lelettt', 'bangetttkek', 'gak', 'niatcuma', 'bojonegorotuban', 'gk', 'dateng']",kirim lelettt bangetttkek gak niatcuma bojonegorotuban gk dateng
Mantap,4,Positif,mantap,mantap,['mantap'],mantap
mantaap,4,Positif,mantaap,mantaap,['mantaap'],mantaap
Udah ngikutin langkah-langkahnya tp Malah email tidak terdaftar. padahal email aktif mungkin aplikasi nya yang gak bisa di pakai jadi gak bisa untuk daftar,1,Negatif,udah ngikutin langkahlangkahnya tp malah email tidak terdaftar padahal email aktif mungkin aplikasi nya yang gak bisa di pakai jadi gak bisa untuk daftar,udah ngikutin langkahlangkahnya tp email terdaftar email aktif aplikasi nya gak pakai gak daftar,"['udah', 'ngikutin', 'langkahlangkahnya', 'tp', 'email', 'terdaftar', 'email', 'aktif', 'aplikasi', 'nya', 'gak', 'pakai', 'gak', 'daftar']",udah ngikutin langkahlangkahnya tp email daftar email aktif aplikasi nya gak pakai gak daftar
bagus,5,Positif,bagus,bagus,['bagus'],bagus
Pengiriman via pos lambat,1,Negatif,pengiriman via pos lambat,pengiriman via pos lambat,"['pengiriman', 'via', 'pos', 'lambat']",kirim via pos lambat
bgus,5,Positif,bgus,bgus,['bgus'],bgus
ok,5,Positif,ok,ok,['ok'],ok
Baru downlod semoga bermanfaat🙏😊,5,Positif,baru downlod semoga bermanfaat,downlod semoga bermanfaat,"['downlod', 'semoga', 'bermanfaat']",downlod moga manfaat
Udah 4 hari yg pickup blm datang juga? Payah!!,1,Negatif,udah  hari yg pickup blm datang juga payah,udah yg pickup blm payah,"['udah', 'yg', 'pickup', 'blm', 'payah']",udah yg pickup blm payah
produk dlam negeri,5,Positif,produk dlam negeri,produk dlam negeri,"['produk', 'dlam', 'negeri']",produk dlam negeri
terbantu buat para penjual online,5,Positif,terbantu buat para penjual online,terbantu penjual online,"['terbantu', 'penjual', 'online']",bantu jual online
Best,5,Positif,best,best,['best'],best
"Cek resi pengiriman kok tidak terdetect ya? Untuk pengiriman dari luar negri di kirim dong ke pemilik paket, masalah pajak pasti di bayar kalo barang sampai, pengalaman barang saya tidak di kirim malah diem di gudang bea cukai dan bertele2 untuk proses nya, ngambil harus ijin sama pejabat bea cukai ( curiga saya )",1,Negatif,cek resi pengiriman kok tidak terdetect ya untuk pengiriman dari luar negri di kirim dong ke pemilik paket masalah pajak pasti di bayar kalo barang sampai pengalaman barang saya tidak di kirim malah diem di gudang bea cukai dan bertele untuk proses nya ngambil harus ijin sama pejabat bea cukai  curiga saya ,cek resi pengiriman terdetect ya pengiriman negri kirim pemilik paket pajak bayar kalo barang pengalaman barang kirim diem gudang bea cukai bertele proses nya ngambil ijin pejabat bea cukai curiga,"['cek', 'resi', 'pengiriman', 'terdetect', 'ya', 'pengiriman', 'negri', 'kirim', 'pemilik', 'paket', 'pajak', 'bayar', 'kalo', 'barang', 'pengalaman', 'barang', 'kirim', 'diem', 'gudang', 'bea', 'cukai', 'bertele', 'proses', 'nya', 'ngambil', 'ijin', 'pejabat', 'bea', 'cukai', 'curiga']",cek resi kirim terdetect ya kirim negri kirim milik paket pajak bayar kalo barang alam barang kirim diem gudang bea cukai tele proses nya ngambil ijin jabat bea cukai curiga
Tingkatkan lagi,4,Positif,tingkatkan lagi,tingkatkan,['tingkatkan'],tingkat
Jgn ragu download aja insyaallah Berkah,5,Positif,jgn ragu download aja insyaallah berkah,jgn ragu download aja insyaallah berkah,"['jgn', 'ragu', 'download', 'aja', 'insyaallah', 'berkah']",jgn ragu download aja insyaallah berkah
Mantab joooos,5,Positif,mantab joooos,mantab joooos,"['mantab', 'joooos']",mantab joooos
pelayanan bagus,5,Positif,pelayanan bagus,pelayanan bagus,"['pelayanan', 'bagus']",layan bagus
Bad,1,Negatif,bad,bad,['bad'],bad
Riwayat tidak bisa full,1,Negatif,riwayat tidak bisa full,riwayat full,"['riwayat', 'full']",riwayat full
"Alamat sudah sesuai dengan lengkap ,tp di keterangannya ,alamat tidak di temukan dan alibinya kurir tidak masuk",1,Negatif,alamat sudah sesuai dengan lengkap tp di keterangannya alamat tidak di temukan dan alibinya kurir tidak masuk,alamat sesuai lengkap tp keterangannya alamat temukan alibinya kurir masuk,"['alamat', 'sesuai', 'lengkap', 'tp', 'keterangannya', 'alamat', 'temukan', 'alibinya', 'kurir', 'masuk']",alamat sesuai lengkap tp terang alamat temu alibi kurir masuk
bagus,5,Positif,bagus,bagus,['bagus'],bagus
sangat bagus,4,Positif,sangat bagus,bagus,['bagus'],bagus
Mantab,5,Positif,mantab,mantab,['mantab'],mantab
antarannya lama,1,Negatif,antarannya lama,antarannya,['antarannya'],antar
gimana sih ..udh masukin nomor resi ko barcode tidak dapat di temukan,1,Negatif,gimana sih udh masukin nomor resi ko barcode tidak dapat di temukan,gimana sih udh masukin nomor resi ko barcode temukan,"['gimana', 'sih', 'udh', 'masukin', 'nomor', 'resi', 'ko', 'barcode', 'temukan']",gimana sih udh masukin nomor resi ko barcode temu
TOP,5,Positif,top,top,['top'],top
Bagus,5,Positif,bagus,bagus,['bagus'],bagus
👍🏽,5,Positif,,,[],
Bagi yg butuh kode refferalnya WIDYA7,5,Positif,bagi yg butuh kode refferalnya widya,yg butuh kode refferalnya widya,"['yg', 'butuh', 'kode', 'refferalnya', 'widya']",yg butuh kode refferalnya widya
Jelek... Pdhl butuh banget cek barang. Hapus aja. Krg pinter yg bikin.,1,Negatif,jelek pdhl butuh banget cek barang hapus aja krg pinter yg bikin,jelek pdhl butuh banget cek barang hapus aja krg pinter yg bikin,"['jelek', 'pdhl', 'butuh', 'banget', 'cek', 'barang', 'hapus', 'aja', 'krg', 'pinter', 'yg', 'bikin']",jelek pdhl butuh banget cek barang hapus aja krg pinter yg bikin
Luar Biasa !!!!!!!,5,Positif,luar biasa ,,[],
"Sy pengajuan pick up paket sdh 2 hari gak diambil2, haduuuuhh",2,Negatif,sy pengajuan pick up paket sdh  hari gak diambil haduuuuhh,sy pengajuan pick up paket sdh gak diambil haduuuuhh,"['sy', 'pengajuan', 'pick', 'up', 'paket', 'sdh', 'gak', 'diambil', 'haduuuuhh']",sy aju pick up paket sdh gak ambil haduuuuhh
"aplikasi nya sangat membantu, transaksi COD lebih mudah",5,Positif,aplikasi nya sangat membantu transaksi cod lebih mudah,aplikasi nya membantu transaksi cod mudah,"['aplikasi', 'nya', 'membantu', 'transaksi', 'cod', 'mudah']",aplikasi nya bantu transaksi cod mudah
sangat membantu dalam pengiriman cod,5,Positif,sangat membantu dalam pengiriman cod,membantu pengiriman cod,"['membantu', 'pengiriman', 'cod']",bantu kirim cod
Terimakasih telah memudahkan pengiriman paket,5,Positif,terimakasih telah memudahkan pengiriman paket,terimakasih memudahkan pengiriman paket,"['terimakasih', 'memudahkan', 'pengiriman', 'paket']",terimakasih mudah kirim paket
Mantap,5,Positif,mantap,mantap,['mantap'],mantap
Membantu menganal lebih dekat dengan kantor pos,4,Positif,membantu menganal lebih dekat dengan kantor pos,membantu menganal kantor pos,"['membantu', 'menganal', 'kantor', 'pos']",bantu anal kantor pos
sangat membantu sekali,4,Positif,sangat membantu sekali,membantu,['membantu'],bantu
mantaap,5,Positif,mantaap,mantaap,['mantaap'],mantaap
sementara dikasi 3 dulu karena pickupnya tidak sesuai schedule.,3,Netral,sementara dikasi  dulu karena pickupnya tidak sesuai schedule,dikasi pickupnya sesuai schedule,"['dikasi', 'pickupnya', 'sesuai', 'schedule']",kasi pickupnya sesuai schedule
sangat membantu,5,Positif,sangat membantu,membantu,['membantu'],bantu
top,5,Positif,top,top,['top'],top
Saran saja... Fitur layanan untuk mengirim ke tujuan luar negri dan pengecekan tarifnya.. dan tambah fitur persyaratan bertransaksi dan penggunaanya.. Buat lebih simple dan seru digunakan... Tambah game untuk point.. Agar tidak membosankan... Dapat menggunakan hp sebagai sarana sebagai loket publik untuk bertransaksi ditempat dan dimanapun berada..menghemat waktu. mohon agar lebih cepat tidak lemot dan lebih lengkap dan ringkas... ..thanks...Maju terus Pos Indonesia,4,Positif,saran saja fitur layanan untuk mengirim ke tujuan luar negri dan pengecekan tarifnya dan tambah fitur persyaratan bertransaksi dan penggunaanya buat lebih simple dan seru digunakan tambah game untuk point agar tidak membosankan dapat menggunakan hp sebagai sarana sebagai loket publik untuk bertransaksi ditempat dan dimanapun beradamenghemat waktu mohon agar lebih cepat tidak lemot dan lebih lengkap dan ringkas thanksmaju terus pos indonesia,saran fitur layanan mengirim tujuan negri pengecekan tarifnya fitur persyaratan bertransaksi penggunaanya simple seru game point membosankan hp sarana loket publik bertransaksi ditempat dimanapun beradamenghemat mohon cepat lemot lengkap ringkas thanksmaju pos indonesia,"['saran', 'fitur', 'layanan', 'mengirim', 'tujuan', 'negri', 'pengecekan', 'tarifnya', 'fitur', 'persyaratan', 'bertransaksi', 'penggunaanya', 'simple', 'seru', 'game', 'point', 'membosankan', 'hp', 'sarana', 'loket', 'publik', 'bertransaksi', 'ditempat', 'dimanapun', 'beradamenghemat', 'mohon', 'cepat', 'lemot', 'lengkap', 'ringkas', 'thanksmaju', 'pos', 'indonesia']",saran fitur layan kirim tuju negri kece tarif fitur syarat transaksi penggunaanya simple seru game point bosan hp sarana loket publik transaksi tempat mana beradamenghemat mohon cepat lot lengkap ringkas thanksmaju pos indonesia
Memudahkan saya untuk melacak kiriman,5,Positif,memudahkan saya untuk melacak kiriman,memudahkan melacak kiriman,"['memudahkan', 'melacak', 'kiriman']",mudah lacak kirim
Bagus aplikasi ini sangat mmbantu cuma masih banyak kekurangan👉👉lacak pengiriman kadang bisa kadang gk bisa tapi lebih sering gk bisa nya... Scand barkode juga sama kadang bisa kadang gk bisa... Tolong di perbaiki dan di kembangkan lagi sistem nya min,5,Positif,bagus aplikasi ini sangat mmbantu cuma masih banyak kekuranganlacak pengiriman kadang bisa kadang gk bisa tapi lebih sering gk bisa nya scand barkode juga sama kadang bisa kadang gk bisa tolong di perbaiki dan di kembangkan lagi sistem nya min,bagus aplikasi mmbantu kekuranganlacak pengiriman kadang kadang gk gk nya scand barkode kadang kadang gk tolong perbaiki kembangkan sistem nya min,"['bagus', 'aplikasi', 'mmbantu', 'kekuranganlacak', 'pengiriman', 'kadang', 'kadang', 'gk', 'gk', 'nya', 'scand', 'barkode', 'kadang', 'kadang', 'gk', 'tolong', 'perbaiki', 'kembangkan', 'sistem', 'nya', 'min']",bagus aplikasi mmbantu kekuranganlacak kirim kadang kadang gk gk nya scand barkode kadang kadang gk tolong baik kembang sistem nya min
Mantaf,5,Positif,mantaf,mantaf,['mantaf'],mantaf
"Bagus ,, mantap ,, memudahkan dalam berbisnis online",5,Positif,bagus  mantap  memudahkan dalam berbisnis online,bagus mantap memudahkan berbisnis online,"['bagus', 'mantap', 'memudahkan', 'berbisnis', 'online']",bagus mantap mudah bisnis online
Lumayan bagus saat ini meskipun telat berbenah perlu aktif lebih biar semakin populer,5,Positif,lumayan bagus saat ini meskipun telat berbenah perlu aktif lebih biar semakin populer,lumayan bagus telat berbenah aktif biar populer,"['lumayan', 'bagus', 'telat', 'berbenah', 'aktif', 'biar', 'populer']",lumayan bagus telat benah aktif biar populer
saya kasih 2⭐ . kurang puas dengan sebagian menu terutama di menu hitori pengiriman di hapus otomati jadi hilang semua historinya.,2,Negatif,saya kasih   kurang puas dengan sebagian menu terutama di menu hitori pengiriman di hapus otomati jadi hilang semua historinya,kasih puas menu menu hitori pengiriman hapus otomati hilang historinya,"['kasih', 'puas', 'menu', 'menu', 'hitori', 'pengiriman', 'hapus', 'otomati', 'hilang', 'historinya']",kasih puas menu menu hitori kirim hapus otomat hilang histori
Bagus,5,Positif,bagus,bagus,['bagus'],bagus
Satu bintang dulu baru mau coba,1,Negatif,satu bintang dulu baru mau coba,bintang coba,"['bintang', 'coba']",bintang coba
Maju terus POS Indonesia,5,Positif,maju terus pos indonesia,maju pos indonesia,"['maju', 'pos', 'indonesia']",maju pos indonesia
ok,5,Positif,ok,ok,['ok'],ok
Saya menyimpan banyak alamat cod via favorit... Aplikasi di unistall ehh ilang semua itu alamat...sy kira udah kesimpen cloud nya posaja Tolong di tingkatkan lagi seperti aplikasi yang lain,3,Netral,saya menyimpan banyak alamat cod via favorit aplikasi di unistall ehh ilang semua itu alamatsy kira udah kesimpen cloud nya posaja tolong di tingkatkan lagi seperti aplikasi yang lain,menyimpan alamat cod via favorit aplikasi unistall ehh ilang alamatsy udah kesimpen cloud nya posaja tolong tingkatkan aplikasi,"['menyimpan', 'alamat', 'cod', 'via', 'favorit', 'aplikasi', 'unistall', 'ehh', 'ilang', 'alamatsy', 'udah', 'kesimpen', 'cloud', 'nya', 'posaja', 'tolong', 'tingkatkan', 'aplikasi']",simpan alamat cod via favorit aplikasi unistall ehh ilang alamatsy udah kesimpen cloud nya posaja tolong tingkat aplikasi
yang ditingkatkan itu layanannya jangan mahal doang. aplikasi ga perlu canggih tapi layanann yang bagus dibutuhkan itu terpenting,1,Negatif,yang ditingkatkan itu layanannya jangan mahal doang aplikasi ga perlu canggih tapi layanann yang bagus dibutuhkan itu terpenting,ditingkatkan layanannya mahal doang aplikasi ga canggih layanann bagus dibutuhkan terpenting,"['ditingkatkan', 'layanannya', 'mahal', 'doang', 'aplikasi', 'ga', 'canggih', 'layanann', 'bagus', 'dibutuhkan', 'terpenting']",tingkat layan mahal doang aplikasi ga canggih layanann bagus butuh penting
Pos aja mantap,5,Positif,pos aja mantap,pos aja mantap,"['pos', 'aja', 'mantap']",pos aja mantap
Jos,5,Positif,jos,jos,['jos'],jos
coba dulu,2,Negatif,coba dulu,coba,['coba'],coba
Semoga bermanfaat,5,Positif,semoga bermanfaat,semoga bermanfaat,"['semoga', 'bermanfaat']",moga manfaat
Masyaallah,5,Positif,masyaallah,masyaallah,['masyaallah'],masyaallah
"Harusnya lebih laris dari j&t, karena jangkauan cabangnya lebih banyak hampir semua kecamatan di indonesia, perlu promisi yg menyeluruh",5,Positif,harusnya lebih laris dari jt karena jangkauan cabangnya lebih banyak hampir semua kecamatan di indonesia perlu promisi yg menyeluruh,laris jt jangkauan cabangnya kecamatan indonesia promisi yg,"['laris', 'jt', 'jangkauan', 'cabangnya', 'kecamatan', 'indonesia', 'promisi', 'yg']",laris jt jangkau cabang camat indonesia promisi yg
Semoga layanan POs semakin baik,5,Positif,semoga layanan pos semakin baik,semoga layanan pos,"['semoga', 'layanan', 'pos']",moga layan pos
Mantap jiwa,5,Positif,mantap jiwa,mantap jiwa,"['mantap', 'jiwa']",mantap jiwa
Mantap,5,Positif,mantap,mantap,['mantap'],mantap
Terbaik 👍🏻,5,Positif,terbaik ,terbaik,['terbaik'],baik
tetbaikkk pelayanan seperti krluarga,5,Positif,tetbaikkk pelayanan seperti krluarga,tetbaikkk pelayanan krluarga,"['tetbaikkk', 'pelayanan', 'krluarga']",tetbaikkk layan krluarga
Sangat puas dengan informasi dalam penggunaan aplikasinya,5,Positif,sangat puas dengan informasi dalam penggunaan aplikasinya,puas informasi penggunaan aplikasinya,"['puas', 'informasi', 'penggunaan', 'aplikasinya']",puas informasi guna aplikasi
Angel,5,Positif,angel,angel,['angel'],angel
Uang cod nya suka lama cairnya,2,Negatif,uang cod nya suka lama cairnya,uang cod nya suka cairnya,"['uang', 'cod', 'nya', 'suka', 'cairnya']",uang cod nya suka cair
Mantap memudahkan pengiriman tanpa kelur rumah,5,Positif,mantap memudahkan pengiriman tanpa kelur rumah,mantap memudahkan pengiriman kelur rumah,"['mantap', 'memudahkan', 'pengiriman', 'kelur', 'rumah']",mantap mudah kirim kelur rumah
Mohon untuk untuk di benahi saldo ada tp untuk transfer apa top up sulit ke galeri di suruh tunggu info dari Jakarta sampai sekarang masih belum bisa,5,Positif,mohon untuk untuk di benahi saldo ada tp untuk transfer apa top up sulit ke galeri di suruh tunggu info dari jakarta sampai sekarang masih belum bisa,mohon benahi saldo tp transfer top up sulit galeri suruh tunggu info jakarta,"['mohon', 'benahi', 'saldo', 'tp', 'transfer', 'top', 'up', 'sulit', 'galeri', 'suruh', 'tunggu', 'info', 'jakarta']",mohon benah saldo tp transfer top up sulit galeri suruh tunggu info jakarta
Bagus,5,Positif,bagus,bagus,['bagus'],bagus
"Seiring jamannya digital ternyata Pos Aja masih kalah sama ekpedisi marketplace. Sms verifikasi aja lemotnya minta ampun, kayakny pos blm siap untuk teknologi digital, gmn mau maju, gmn mau bersaing.",1,Negatif,seiring jamannya digital ternyata pos aja masih kalah sama ekpedisi marketplace sms verifikasi aja lemotnya minta ampun kayakny pos blm siap untuk teknologi digital gmn mau maju gmn mau bersaing,seiring jamannya digital pos aja kalah ekpedisi marketplace sms verifikasi aja lemotnya ampun kayakny pos blm teknologi digital gmn maju gmn bersaing,"['seiring', 'jamannya', 'digital', 'pos', 'aja', 'kalah', 'ekpedisi', 'marketplace', 'sms', 'verifikasi', 'aja', 'lemotnya', 'ampun', 'kayakny', 'pos', 'blm', 'teknologi', 'digital', 'gmn', 'maju', 'gmn', 'bersaing']",iring jaman digital pos aja kalah ekpedisi marketplace sms verifikasi aja lot ampun kayakny pos blm teknologi digital gmn maju gmn saing
Ok,5,Positif,ok,ok,['ok'],ok
Good,5,Positif,good,good,['good'],good
Mantap,5,Positif,mantap,mantap,['mantap'],mantap
baru pertama kali coba aplikasi ini untuk jualan online semoga membantu dan lancar,5,Positif,baru pertama kali coba aplikasi ini untuk jualan online semoga membantu dan lancar,kali coba aplikasi jualan online semoga membantu lancar,"['kali', 'coba', 'aplikasi', 'jualan', 'online', 'semoga', 'membantu', 'lancar']",kali coba aplikasi jual online moga bantu lancar
"bagus sih. tpi perlu di tingkatkan lagi untuk info trackingnya biar bisa melacak paket ter update, dan untuk pencairan dana COD nya juga belum maksimal sehingga bingung saldo yang mana yg sudah masuk atau yang belum masuk.",5,Positif,bagus sih tpi perlu di tingkatkan lagi untuk info trackingnya biar bisa melacak paket ter update dan untuk pencairan dana cod nya juga belum maksimal sehingga bingung saldo yang mana yg sudah masuk atau yang belum masuk,bagus sih tpi tingkatkan info trackingnya biar melacak paket ter update pencairan dana cod nya maksimal bingung saldo yg masuk masuk,"['bagus', 'sih', 'tpi', 'tingkatkan', 'info', 'trackingnya', 'biar', 'melacak', 'paket', 'ter', 'update', 'pencairan', 'dana', 'cod', 'nya', 'maksimal', 'bingung', 'saldo', 'yg', 'masuk', 'masuk']",bagus sih tpi tingkat info trackingnya biar lacak paket ter update cair dana cod nya maksimal bingung saldo yg masuk masuk
"Jelek pengiriman ga jelas,minta tempat drop out ga di kasih,minta nomor kurir ga di kasih,ngomong sama admin malah tambah ga jelas",1,Negatif,jelek pengiriman ga jelasminta tempat drop out ga di kasihminta nomor kurir ga di kasihngomong sama admin malah tambah ga jelas,jelek pengiriman ga jelasminta drop out ga kasihminta nomor kurir ga kasihngomong admin ga,"['jelek', 'pengiriman', 'ga', 'jelasminta', 'drop', 'out', 'ga', 'kasihminta', 'nomor', 'kurir', 'ga', 'kasihngomong', 'admin', 'ga']",jelek kirim ga jelasminta drop out ga kasihminta nomor kurir ga kasihngomong admin ga
oke,5,Positif,oke,oke,['oke'],oke
Mantap,5,Positif,mantap,mantap,['mantap'],mantap
sangat membantu sekali..,5,Positif,sangat membantu sekali,membantu,['membantu'],bantu
Good,5,Positif,good,good,['good'],good
Nice,5,Positif,nice,nice,['nice'],nice
