content,score,Label
Mantab.. Terima kasih posAja,5,Positif
"Terima Kasih buat Pos aja,Barang Paket di terima dengan aman dan Cepat hari jumaat dikirim sampai hari Sabtu , TOP 👍👍👍",5,Positif
ton wardani,5,Positif
"Kirim paket jadi mudah. Cocok buat genma, generasi mager. Mau kirim paket ada yang jemput. Sedaaaaap",5,Positif
suip,5,Positif
"Aplikasi yang sangat keren dan langsung di pick up oleh Petugas Pos, Bravo Pos Indonesia",5,Positif
sangat bagus untukk pengiriman,5,Positif
Pos aja memang sangat mbantu... Semoga Pos slalu bisa inovasi,5,Positif
Mohon di kembangkan lagi apk nya. Masak setiap membuka opsi kita di giring ke browser untuk membaca selengkapnya mohon di kembangkan lagi.,5,Positif
Cepat di pickup,5,Positif
sangat baik,5,Positif
sangat bagus,5,Positif
Luar Biasa,5,Positif
bagus sekali,5,Positif
keren mantap cepet sampai dan aman,5,Positif
Mantap,5,Positif
Bagus Pengiriman Ya Cepat Banget,5,Positif
mantap,5,Positif
Blum coba semoga bisa kirim paket dengan mudah,5,Positif
Mantapp👍👍,5,Positif
Semakin simpel saja,5,Positif
Panggah oke,5,Positif
"Makasih pos, emng bukan kaleng². Pesenan estimasi 3 hari sampe 1 hari 1 malam.pos keren,makasih",5,Positif
"sangat membatu masyarakat untuk mengirim barang dan dukumen.tdk perlu repot untuk antri di kator pos.kiriman bisa di proses di rumah saja dan di jemput oleh petugas pos .semua ada di posaja.cara nya muda, download apl posaja di play store.bagi pembisnis online ayo di posaja.",5,Positif
Potongan sekarang naik....!!!!,5,Positif
baru mencoba 1kali semoga lancar,5,Positif
sangat bagus,5,Positif
Memudahkan dalam berjualan online 👍,5,Positif
Mantappp,5,Positif
sangat bermanfaat untuk mempermudah mendapatkan resi bookingan untuk online shop,5,Positif
Mantap 👍,5,Positif
Mantap,5,Positif
bagus aplikasinya memudahkan tp pos lebih mahal ya dibanding pengiriman lainnya,4,Positif
"good luck,, nyosss",5,Positif
Oke terimakasih pos Indonesia. sudah membantu kami dalam proses pengiriman dokumen.sangat bagus informasi di aplikasi proses nya cepat dan akurat,5,Positif
Bagus,5,Positif
keren,5,Positif
"Terima kasih Posaja. Paketku sudah diantar. Pokoknya cepat Dan murah ongkosnya, Mantap.",5,Positif
"Untuk Pelayanan CS Pos indonesia SANGAT BURUK, Untuk Tracking/ Pengiriman SANGAT LAMBAT, Untuk Perusahaan BUMN, Terkesan Sangat SANGAT LAMBAT, HARUSNYA NGGA USAH TERIMA/ KIRIM BARANG, PAKAI KIRIM SURAT AJ, DRPD KIRIM BARANG JUGA GA JELAS, LHEMOTX KY PENTIUM 1",1,Negatif
👍👍👍👍,5,Positif
Mantap,5,Positif
mantap pos aja,5,Positif
Pos aja mantap,5,Positif
Terima Kasih Kantor pos Usaha Kunto Makin Maju Atas kerja Sama pengiriman 1 hari sampai tetap semangat kantor pos,5,Positif
Mantap dan sangat membantu,5,Positif
Mantap,5,Positif
Dari kmarin pickup tidak ada yg mengambil sampe sekarang. Lambat,1,Negatif
👍👍👍,5,Positif
Bagus,5,Positif
Mudah daftar banyak layananya,5,Positif
Mantap...,5,Positif
"Opsi jemput kiriman paket tidak ada respon, sudah ada keterangan jam 13.30 - 14.30 tapi tidak ada kurir yang datang. Mengecewakan.",1,Negatif
Senua lancar yang di tolak pun kembali kerumah lagi di bantu sama pak Posnya,5,Positif
membantu sekali pengiriman barang 👍👍👍👍❤️❤️❤️🇲🇨🇲🇨🇲🇨🇲🇨💯💯💯👏👏👏🤝🤝🤝,5,Positif
"Keren, Pos jadi Ebih modern... Pas aplikasi ini kita sampai tau siapa yg menerima paket. Sisanya kadang aplikasinya susah dibuka, loading lama terutama untuk tracking pengiriman, tp bgi saya itu tidak masalah.",5,Positif
Cepat tepat efisien dibanding jasa pengiriman yg lain,5,Positif
Good Job POS indobesia jaya selalu 👍,5,Positif
Sangat suka,5,Positif
Top markotop pokoknya dah,5,Positif
Pendaftaran agak terkendala,5,Positif
Keren,5,Positif
mantab jaya,5,Positif
"Codpos di daerah saya baru saya yang mengawali,,pak pos nya bilang ""baru kali ini mas,melayani pengirim minta cod..padahal aplikasi sudah lama"".dan terakhir paket mendarat lebih cepat dari jadwal.",5,Positif
"Cepat, Tepat Waktu, Beaya Ringan, ttp kiriman buku saya sd hari ini blm kunjung tiba ?????",5,Positif
baik,4,Positif
"Sebelumnya menerima dr pos sllu tdk kecewa ttpi apakah, bisa antar alamat sesuai dgn alamat tercatum di akun apk saya semoga tdk mengecewakan ya",4,Positif
Bagus dan membantu banget,5,Positif
Gk bisa registrasi kenapa ya ?,1,Negatif
Keren,5,Positif
Mengapa tidak bisa mengirim barang keluar kota ?,1,Negatif
Oke,5,Positif
Sementara 3 bintang karena untuk barkot tidak bisa di scan,3,Netral
"Menurutku pos harus berbenah lagi dalam proses pengiriman, proses antaran aja beberapa kali mengalami kegagalan, dan pihak kurir pun komunikasinya kurang banget, kami selaku coustomer hanya butuh kepastian, dan 1 lagi gak sesuai estimasi pengiriman, malah molor bgt sii",2,Negatif
Tolong admin diperhatikan apk nya masak baru masuk kok erro,1,Negatif
pelayanan yg baik,5,Positif
Coba dulu,5,Positif
Mohon tingkatkan fitur lacak kiriman agar bisa lebih detail... Terimakasih sukses selalu pos aja,5,Positif
Bagus,5,Positif
Good,5,Positif
"Saya coba fitur pickup via mawar orange gitu, atur jadwal jam 12-16. Smpe memastikan lwt chatt ke kurirnya. Dijanjikan sore, sampai jam 18 ga dipickup juga tanpa ada konfirmasi dr kurir. OMG.. kirain perbaikan fasilitas Pos Indonesia tyt sama aja.",1,Negatif
Entahlah biar bintang yg berbicara,1,Negatif
Sangat membantu sekali Mantaaapp....,5,Positif
Kren,5,Positif
Pelayanannya ramah dan lumayan cepat sampai ditujuan paketnya dibanding dgn ekspedisi lainnya,5,Positif
Masih mencoba,5,Positif
Cakep,5,Positif
Aayang ya berat hanya 10kg Sedangkan saya rutin kirim sembako untuk keluarga dgn berat 30kg Terima kasih,5,Positif
"Mantap, sedikit saran dan kritik, Ongkir lebih mahal dari transaksi diloket kantor pos, dan tidak ada pilihan paket ekonominya atau barang",4,Positif
"Payah layanan pickup tidak handal, begitu di pickup kemudian kurir minta manual aja, begitu cb manual malah ndak di pickup sama kurir pos. Kenapa ini pos adalah BUMN tapi performanya kalah sama yg lain. Payah",1,Negatif
Cepat.....tepat,5,Positif
Pelayanan sangat bagus,5,Positif
Selalu memudahkan,5,Positif
Ongkir naik banyak yang keberatan,5,Positif
Pos emang ok,5,Positif
"Masih kurang canggih,kurang simpel",1,Negatif
Sangat Baik,5,Positif
Makin mudah,5,Positif
"Tepat waktu, gampang melacak paket akan diterima. Tq Pos.",5,Positif
👍,5,Positif
cek resi ga bisa,1,Negatif
Applikasi kurang cepat. Lemet untuk perpindahan dari oppsi satu kelainnya,2,Negatif
"Sangat buruk. Sudah pengiriman lelet, karyawan pelayannya juga lelet, infonya kemarin pas mau tutup buka jam 8 pagi, tpi pegawainya cuman buka sedikit, lalu keluar lgi, jam 9 pagi baru dibuka full, buang buang waktu aja.",1,Negatif
Ok,5,Positif
Tingkatkan ...mari sukses bersama,5,Positif
Mudah lacak kiriman pos 😍🥰,5,Positif
"Yang kasih bintang 5, Sebagian besar W saya rasa pegawai pos nya deh, Kalean mau Cod pakai pos, mending gk usah deh, pelayanan BUMN kalah dgn swasta, entah kurirnya yg gk mau anter, tagihan cod gk langsung di setorkan dan masih banyak lagi.",1,Negatif
amazing,5,Positif
"Pengiriman paket sangat lambat. Sudah jatuh tempo barang belum sampai, pesanan sudah 14 hari barang belum saya terima, ekspedisi lain paling lama seminggu barang sudah diterima. sangat mengecewakan..",1,Negatif
Harusnya ada fitur . Laporan barang cod yang tidak terkirim. Karna kadang ada barang gagal kirim. Tapi kurir tidak laporan. Itu akan merugikan penjual.,1,Negatif
"Kenapa pake giro, ga bisa langsung nyambung bank2 pemerintah, ga simpel jadinya, dah saya Download tapi belum pernah saya pake, ribet cod harus nyambung giro",1,Negatif
"Pelayanan slow banget.. Order penjemputan paket via aplikasi, tapi tidak di respon..",1,Negatif
Ok,5,Positif
Aplikasi yang sangat membantu,5,Positif
"Pengiriman lama wajar jika kalah saing ,INI BUMN LHO tolong diperbaiki katanya ingin dukung UMKM Lha wong layanan COD malah merugikan UMKM bayangkan paket tidak sampai pengirim sudah bayar dari AWAL ,wajar saja jika penerima menolak paket COD ini cuma antar kabupaten lamanya minta ampun ....,Kirim hari tanggal 2 tanggal 4 sampai ke pos terdekat (penerima) padahal tinggal antar sampai saat ini belum di antar , untuk yg ingin COD pakai POS tolong pikir 2 kali 🙏🙏,lebih baik pakai lainya.",4,Positif
Top 👍,5,Positif
Gol,5,Positif
"Paket gw gadatang"" anjir, drivernya juga gaada kasi pemberitahuan, ah kacau, mana cek resi aja ribet",1,Negatif
"Semoga sesuai dgn apa yg tera di resi,cepat dan tepat",5,Positif
oke,5,Positif
istimewa,5,Positif
Aplikasi nya sangat bagus,5,Positif
Msh suka eror,5,Positif
Apik banget,5,Positif
POS AJA,5,Positif
Mantap pengiriman cepat barang aman tidak penyok penyok,5,Positif
kurang praktis,4,Positif
Kantor pos sekarang beda. Semua ada lengkap. Terima kasih Pos Indonesia.,5,Positif
Baguss,5,Positif
Kalau kurir gk mau ngantar pake.gak usah jadi kurir,1,Negatif
Mantap,5,Positif
Bagus,5,Positif
👍👍👍,5,Positif
Maju terus pos indonesia..jgn kalah saing dengan lainnya!!!!!!,5,Positif
"coba dulu yah,,, soalnya bau pertama kali pake app ini..😅😅😅",5,Positif
Mantap,4,Positif
Makin nyaman pake POS AJA,5,Positif
Alhamdulillah surat saya sudah sampai ke alamat yg di tuju. Terimakasih buat PT. Pos Indonesia,5,Positif
Infonya update. Baik via WA maupun SMS. Juga bisa tracking via aplikasi. Mantaaap. Sukses selalu POS Indonesia,5,Positif
ok,5,Positif
Cukup memuaskan,4,Positif
Aplikasi ini gak bisa di pake mengorder buat kurir jemput barang di rumah dan gak bisa cek tarif di aplikasi padahal pos gak terlalu jauh dari rumah.. Dan saya juga minta di ig pos ajah kendari gak ada balasan .. Padahal ig nya aktif dan WA yg di pasangdi ig gak bisa di hubungi... Saya donload aplikasi pos aja ini juga bener2 tidak bisa di gunakan... Saya kasih bbintang 1 dulu sambil nunggu klo sudah ada respon dan solusi ...,1,Negatif
Uang cod suka lama cairnya.,3,Netral
setiap mau lacak resi selalu tertulis BARCODE TIDAK DITEMUKAN🥱🥱🥱,1,Negatif
"Trima kasih,,amplikasi ini sangat membantu,untuk bisa jualan Semoga lancar2 aja,,gk byk kendala,👍🙏",5,Positif
Lebih bagus lagi ada historis COD yang belum di bayarkan.. sama seperti versi webnya..,5,Positif
Simpel,5,Positif
Bagus,5,Positif
bagus apk nya,5,Positif
"Mantab laah untuk seller kecil jualan non vie ecommers sangat membantu apa lagi yg mau cod tinggal sat set Tks pos indonesia, sekedar saran aja sih tingkatkan terus kualitas, dan untuk loketnya seleksi lagi kadang ada yg jutek banget, ditanyain jawab ga ikhlas",5,Positif
Good jobs,5,Positif
"Saya bangga bergabung dengan PosAja khususnya, karena banyak informasi dan kemudahan yang diberikan pada era digitalisasi sekarang ini, salam sukses dan terima kasih",5,Positif
Sangat puas dan membantu seller seperti kami yg membutuhkan pelayanan cepat,5,Positif
Ngak asik,1,Negatif
good,5,Positif
Semakin maju pt pos indonesia hancurkam produk asing,5,Positif
Mantab ni aplikasi keren cepat dan hemat sukses selalu pt. pos indonesia,5,Positif
Good,5,Positif
"coba dong ketika customer mengecek resi, berikan kami bahasa/kata² yang mudah di mengerti semua pengguna. karena tidak semua pengguna jasa POS orang pendidikan tinggi. tulis aja keterangan: paket menuju ke pos A atau paket tiba di pos A gak usah banyak pakai VOCAB² intelek ORANG KAMPUNG GAK NGERTI GITUAN",2,Negatif
"Kecewa dengan jasa ekpedisi pos indonesia. Ngirim dari hari jumat dengan paket satu hari sampai, malah udh mau 3 hari belum sampai juga. Saya selaku pedagang online merasa kecewa dan dirugikan.",1,Negatif
Antar cepat amanah terpercaya,5,Positif
baik,5,Positif
Ini nii parah lacak pengiriman kok malah gak bisa !!!,1,Negatif
mantap,5,Positif
Pos aja mantap membantu pengiriman cepat untuk umkm seperti kami.,5,Positif
"Aplikasi nya sangat mendukung dalam cek ongkir, cek status kiriman maupun kirim barang",5,Positif
👍👍👍👍,5,Positif
"Sangat membuat usaha online saya yang tinggal di kota pangkalan Bun, kalteng",5,Positif
Layanan Terbaik,5,Positif
Lamban,3,Netral
Fiturnya tidak lengkap susah dipahami....misal mau cek paket bingung mau pakai fitur yang mana,2,Negatif
"Paket saya belom keterima,tpi diketerangan sdh di terima.",3,Netral
sangat membantu,5,Positif
Terpercaya,5,Positif
"Alhamdulillaah,,, untuk pemula gunakan jasa ini sangat menunjang sekali. Kurang & lebihnya cukup riel,, Sehingga yg paling positif,,, ada hal yg jls salah tempel resi,,, pihak ini berani & lugas genti sesuai prosedur. 🤲👍🤲 Baarokallooh,,, lanjutkan 💕💕💕👌",5,Positif
Pengiriman lama,1,Negatif
mantap,5,Positif
POSPAY nya tolong server nya,5,Positif
semoga apik,5,Positif
Mantap dah untuk memudahkan tracking resi,5,Positif
Paket saya tidak terkirim ke saya entah dikirim kemana padahal alamat saya sudah jelas .. malah dikirim ke orang lain,1,Negatif
Saya gak bisa buat order.. Selalu uknown,1,Negatif
bagus,5,Positif
aplikasi sangat membantu daripada harus lewat web seperti dulu,5,Positif
Aplikasi nya keren bisa pickup dimana saja. Poin saya mengapa tidak bertambah padahal sering order dari posaja.,4,Positif
sangat membantu sekali,5,Positif
Mengirim telur tetas paling aman pakai jasa Pos Indonesia,5,Positif
"Pos emang bagus, tak da masalah",5,Positif
"mudah, cepat",5,Positif
kece badai,5,Positif
Good,5,Positif
kalau dpt bansos klau yg tercntum nama d luar kota bisa di ambil gak d luar kota y,5,Positif
"Layanan masyarakat , kantor pos aja biar lebih dekat",4,Positif
This is Perfect,5,Positif
"Mantap sekali Fitur"" yang luar biasa yang bisa memudahkan untuk pengiriman Paket tanpa datang ke kantor pos. Lanjutkan inovasi terbaru dari kantor pos. 👍",5,Positif
Mantap,5,Positif
Mantap..semakin di sukai milenial,5,Positif
Gooood,3,Netral
terkait Dokumen google Adsense POS terbilang lambat ngirim Dokumen,1,Negatif
Udah 2x order. Ngga ada yang ambil pick up ke rumah. Parah sih,1,Negatif
Semoga membantu,5,Positif
luar biasa,4,Positif
baguss,5,Positif
"Milik Negara, terpecaya dan Modern",5,Positif
"Semoga semakin trendi, sukses sllu buat pos indonesia",5,Positif
Suka bnget,5,Positif
lumayan bagus,3,Netral
sangat membantu,4,Positif
Mantap,5,Positif
Semoga bisa membatu pengiriman,5,Positif
Pos is the best,5,Positif
Bisnis semakin mudah,5,Positif
Pengiriman ny lama stuck sampai seminggu,1,Negatif
Belum ada,5,Positif
jangan update terus,3,Netral
puad,5,Positif
selalu menggunakan pos aja utk pengiriman COD,5,Positif
"Udh kapok cukup sekali aja,emang murah si, tpi Pengirimannya lama banget, padahal satu kota, apalagi yang beda kota berapa lama itu",1,Negatif
keren pos,5,Positif
Mantap,5,Positif
Senang dengan pelayanan pos indonisia,5,Positif
Buruk sekali ini aplikasi. . Sering trouble udah masukan data mau pencet cek tarifnya ajha ga bisa trouble berkali kali,1,Negatif
Sangat membantu,4,Positif
mantap,4,Positif
Mantap,5,Positif
Sangat membantu,4,Positif
Pos antar paket pertama in indonesia,5,Positif
Harga masih belum bersahabat. Coba cek tarif layanan Sameday Depok - Ciracas dengan berat 5000 gram tarifnya Rp.79.999.,1,Negatif
Ok,5,Positif
Mudah dan lebih aman,5,Positif
Mantap banget,5,Positif
Aman bgt,5,Positif
"Memudahkan pengiriman di jemput kurir,jenis pengiriman paling murah lama 2 hari.",5,Positif
ok,5,Positif
verifikasi gagal,1,Negatif
Kurir tidak datang kalau order pick up paket/surat,1,Negatif
Belum berjalan,5,Positif
"pengiriman cepat, sangat puas",5,Positif
ok,5,Positif
Excellen aplikasi..,5,Positif
Masa paket dari hari Senin sampe hari Kamis belum sampai² juga. Ko lama² kaya gini ya?,1,Negatif
Semoga semakin maju dan ditingkatkan pelayanan demi mewujudkan kinerja yang baik terhadap masyarakat dan membantu negara dalam upaya pembangunan agar perekonomian semakin berkembang maju dan menjadi negara yang besar.,5,Positif
Sungguh cepat,5,Positif
Saya sangat puas dengan layanan posaja. Semoga slalu bermanfaat,5,Positif
puas,3,Netral
Bermanfaat aekali,5,Positif
MasyaAllah,5,Positif
"Tolong di kasih laporan uang masuk , barang sudah di terima sudah ada,tapi laporan uang masuk.tidak ada. Tolong di perbaiki",5,Positif
"Pegawai pos tidak fleksible, terlalu mengandalkan sistem yang monoton",1,Negatif
Sayah sangat suka pos sangat membantu bagus pokonya .terimakasih pos Aja,5,Positif
Mantap aplikasi nya,5,Positif
terbaik,5,Positif
Ayo gabung pos aja,5,Positif
Lebih cepat cek ongkir untuk bisnis online,4,Positif
sangat bagus,5,Positif
lumayan yg mager bisa pesen dr rumah,5,Positif
"Aplikasi bagus, waktu daftar n pulihkan akun kode verifikasi tidak masuk ke wa / sms",5,Positif
pos aja keren sekali,5,Positif
"aplikasinya membantu banget buat yg mau kirim2 g perlu keluar rumah, sdh ada yg pickup kerumah kirimanya",5,Positif
memuaskan,5,Positif
best lah pokok nya,5,Positif
Selalu memberikan yg terbaik,5,Positif
Pos Aja memang Josss,5,Positif
Sukses terus pos indonesia,5,Positif
mantap,5,Positif
Ok,5,Positif
Sangatt bagusss good,5,Positif
mantull,5,Positif
Sangat memanjakan pelanggan,5,Positif
👍,5,Positif
Top dahhh,5,Positif
moga pos indonesia bisa bangkit kembalikan masa jayanya.,4,Positif
👍,5,Positif
good,5,Positif
Harusnya bisa multidevice for one account. Saya tidak bisa log in/ pemulihan akun di perangkat yang tidak terpasang kartu SIM/no hp yang terdaftar. Jadi harus insert sim card dulu di perangkat yang kita mau pakai log in. Dan masalahnya tidak bisa log in/ pemulihan akun di tablet yang tidak support seluler. Mohon kiranya ada pengembangan lagi dari segi akses multi device. Thanks,4,Positif
"Aplikasi sudah bagus, tapi untuk kiriman COD form asuransi dan form COD harusnya terpisah, karena asuransi akan mempengaruhi ongkos kirim, selama ini saya kirim COD lansung di Loket Kantor Pos tidak ada penambahan biaya kirim karena asuransi..tks",5,Positif
Keren,5,Positif
mantaf,5,Positif
"Luar biasa buruk sekali, sekelas perusahaan BUMN masa bikin aplikasi yang useable aja ga becuss. Banyak sekali kekurangannya seperti 1. Cek resi tidak selalu bisa 2. Order pickup paket tapi sampe dua hari pake gak dipickup juga tanpa konfirmasi pula 3. Menu bantuan hanya lewat telpon dan email tidak ada live chatnya sangat tidak responsif 4. Akun pospay tidak bisa dilakukan permintaan hapus akun permanen",1,Negatif
Semakin mudah,5,Positif
"Menikmati layanan pos, menjadi pelaku sekaligus saksi perubahan",5,Positif
"Petugas pos sembarangan memberikan paket kepada orang selain pemilik paket tanpa konfirmasi dahulu kepada pemilik paket, alhasil paket saya hilang entah kemana.",1,Negatif
Mantab,5,Positif
Joss ahhh cepet juga Ongkir bersaing...semoga lebih memuaskan lagi pelayanan nya🙏🙏🙏🙏,5,Positif
"mantab aplikasi PosAja, saya suka",5,Positif
Good,5,Positif
Semoga Ada Yang Memberikan Rejeki,5,Positif
"pokok nya ,semua bisa teratasi dengan POS AJA ! ,PUASS banget",5,Positif
Bagus sip semoga bermanfaat kedepannya,5,Positif
sangat bagus,5,Positif
keren,5,Positif
oke juga,5,Positif
Alhamdulillah sangat recommended sekali aplikasi ini😍😍😍👍🏻👍🏻👍🏻,5,Positif
Walaupun resi manual tapi pengiriman sangat cepat,5,Positif
memudahkan,5,Positif
"Pelayan seperti anak play group, sangat mrngecewakan",1,Negatif
oke,5,Positif
pelayanan nya saat ini cukup baik lah untuk kantor pos,5,Positif
Mantap,5,Positif
"Pelayanan cepat dan ramah, sehingga konsumen puas",5,Positif
Paket saya bos tagihan administrasi pembayaran pajak udah lunas paket tak di antar,1,Negatif
poa aja mantap,5,Positif
kereen,5,Positif
"baik, mudah digunakan, lanjutkan pertahankan",5,Positif
Sangat membantu,4,Positif
Bagus Apps ini sangat membantu,5,Positif
Kenapa saat verifikasi download saat masukkan no referal selalu gagal dan gagal solusinya bgm?,1,Negatif
"Waktu pengiriman ke Aceh perlu ditingkatkan, jgn via Medan lagi",5,Positif
Mantap 👍👍👍,5,Positif
"mantappp, Jaya terus Pos Indonesia",5,Positif
Puas,5,Positif
"Pengiriman buruk bilangnya paling telat hari Jum'at, ini sampe hari Minggu gada kejelasan? Woe Pihak pos , ini dokumen penting!! Sampe telat pengiriman ini bisa Gagal acara pernikahan Saudara saya! Mikirlah, orang kerja kok lelet banget, di iming² cepat2 Halah taii! Pokonya saya gamau tau, sampe besok hari Minggu belom ada kejelasan, sya bisa adukan ini ke pihak yg berwenang.",1,Negatif
Lumayan,5,Positif
Mantaf model baru,5,Positif
Cepat dan tepat 🌟🌟🌟,5,Positif
"aplikasinya bagus, tapi pelayanan posnya mengecewakan. pengiriman stnk dari samsat ke penerima yg masih se Kabupaten aja lama sekali, lebih dari 4 hari blm nyampe juga, apalagi pengiriman yg jauh 🤦🏻 🤦🏻 🤦🏻",3,Netral
Mantap,5,Positif
3 aja min karena mau liat resi harus ke web kenapa tidak langsung di app pos aja kan ribet,3,Netral
"Dana cod saya masih nyangkut banyak banget belum masuk ke rekening .. udah komplain sana sini nggak ada hasil... Udah dari tahun 2021 sampe sekarng nggak kelar² ,,",1,Negatif
Belum di update harganya setelah pertamax naik Rp. 10.000,5,Positif
Gimana cara kirim ke luar negri? Kok gak ada fiturnya?,3,Netral
"Dengan adanya aplikasi ini,bisa membantu masyarakat dalam proses pengiriman barang.terima kasih Pesan perlu ada postingan dimedia sosial,agar masyarakat dapat mengetahuinya,salam sehat.",5,Positif
"Barcode seupil ga bisa di scan, Cek resi ga nongol",2,Negatif
Tingkatkan lacak pengiriman,5,Positif
Siap,5,Positif
Tingkatkan,5,Positif
Ok,5,Positif
"Tinggal Update , pd saat barang di terima yang susah atau telat",5,Positif
Sangat bermanfaat. Terima kasih lebih inovatif lagi 😊,5,Positif
mantap,5,Positif
Ok,1,Negatif
Pos aja ya gaess😘😘😘,5,Positif
sangat baguss,5,Positif
Ok,5,Positif
sangat puas,5,Positif
Sangat membantu saya dalam pekerjaan,5,Positif
"pengiriman apaan ini lelettt bangettt,kek gak niat,cuma bojonegoro-tuban 2 hari gk dateng2",1,Negatif
Mantap,4,Positif
mantaap,4,Positif
Udah ngikutin langkah-langkahnya tp Malah email tidak terdaftar. padahal email aktif mungkin aplikasi nya yang gak bisa di pakai jadi gak bisa untuk daftar,1,Negatif
bagus,5,Positif
Pengiriman via pos lambat,1,Negatif
bgus,5,Positif
ok,5,Positif
Baru downlod semoga bermanfaat🙏😊,5,Positif
Udah 4 hari yg pickup blm datang juga? Payah!!,1,Negatif
produk dlam negeri,5,Positif
terbantu buat para penjual online,5,Positif
Best,5,Positif
"Cek resi pengiriman kok tidak terdetect ya? Untuk pengiriman dari luar negri di kirim dong ke pemilik paket, masalah pajak pasti di bayar kalo barang sampai, pengalaman barang saya tidak di kirim malah diem di gudang bea cukai dan bertele2 untuk proses nya, ngambil harus ijin sama pejabat bea cukai ( curiga saya )",1,Negatif
Tingkatkan lagi,4,Positif
Jgn ragu download aja insyaallah Berkah,5,Positif
Mantab joooos,5,Positif
pelayanan bagus,5,Positif
Bad,1,Negatif
Riwayat tidak bisa full,1,Negatif
"Alamat sudah sesuai dengan lengkap ,tp di keterangannya ,alamat tidak di temukan dan alibinya kurir tidak masuk",1,Negatif
bagus,5,Positif
sangat bagus,4,Positif
Mantab,5,Positif
antarannya lama,1,Negatif
gimana sih ..udh masukin nomor resi ko barcode tidak dapat di temukan,1,Negatif
TOP,5,Positif
Bagus,5,Positif
👍🏽,5,Positif
Bagi yg butuh kode refferalnya WIDYA7,5,Positif
Jelek... Pdhl butuh banget cek barang. Hapus aja. Krg pinter yg bikin.,1,Negatif
Luar Biasa !!!!!!!,5,Positif
"Sy pengajuan pick up paket sdh 2 hari gak diambil2, haduuuuhh",2,Negatif
"aplikasi nya sangat membantu, transaksi COD lebih mudah",5,Positif
sangat membantu dalam pengiriman cod,5,Positif
Terimakasih telah memudahkan pengiriman paket,5,Positif
Mantap,5,Positif
Membantu menganal lebih dekat dengan kantor pos,4,Positif
sangat membantu sekali,4,Positif
mantaap,5,Positif
sementara dikasi 3 dulu karena pickupnya tidak sesuai schedule.,3,Netral
sangat membantu,5,Positif
top,5,Positif
Saran saja... Fitur layanan untuk mengirim ke tujuan luar negri dan pengecekan tarifnya.. dan tambah fitur persyaratan bertransaksi dan penggunaanya.. Buat lebih simple dan seru digunakan... Tambah game untuk point.. Agar tidak membosankan... Dapat menggunakan hp sebagai sarana sebagai loket publik untuk bertransaksi ditempat dan dimanapun berada..menghemat waktu. mohon agar lebih cepat tidak lemot dan lebih lengkap dan ringkas... ..thanks...Maju terus Pos Indonesia,4,Positif
Memudahkan saya untuk melacak kiriman,5,Positif
Bagus aplikasi ini sangat mmbantu cuma masih banyak kekurangan👉👉lacak pengiriman kadang bisa kadang gk bisa tapi lebih sering gk bisa nya... Scand barkode juga sama kadang bisa kadang gk bisa... Tolong di perbaiki dan di kembangkan lagi sistem nya min,5,Positif
Mantaf,5,Positif
"Bagus ,, mantap ,, memudahkan dalam berbisnis online",5,Positif
Lumayan bagus saat ini meskipun telat berbenah perlu aktif lebih biar semakin populer,5,Positif
saya kasih 2⭐ . kurang puas dengan sebagian menu terutama di menu hitori pengiriman di hapus otomati jadi hilang semua historinya.,2,Negatif
Bagus,5,Positif
Satu bintang dulu baru mau coba,1,Negatif
Maju terus POS Indonesia,5,Positif
ok,5,Positif
Saya menyimpan banyak alamat cod via favorit... Aplikasi di unistall ehh ilang semua itu alamat...sy kira udah kesimpen cloud nya posaja Tolong di tingkatkan lagi seperti aplikasi yang lain,3,Netral
yang ditingkatkan itu layanannya jangan mahal doang. aplikasi ga perlu canggih tapi layanann yang bagus dibutuhkan itu terpenting,1,Negatif
Pos aja mantap,5,Positif
Jos,5,Positif
coba dulu,2,Negatif
Semoga bermanfaat,5,Positif
Masyaallah,5,Positif
"Harusnya lebih laris dari j&t, karena jangkauan cabangnya lebih banyak hampir semua kecamatan di indonesia, perlu promisi yg menyeluruh",5,Positif
Semoga layanan POs semakin baik,5,Positif
Mantap jiwa,5,Positif
Mantap,5,Positif
Terbaik 👍🏻,5,Positif
tetbaikkk pelayanan seperti krluarga,5,Positif
Sangat puas dengan informasi dalam penggunaan aplikasinya,5,Positif
Angel,5,Positif
Uang cod nya suka lama cairnya,2,Negatif
Mantap memudahkan pengiriman tanpa kelur rumah,5,Positif
Mohon untuk untuk di benahi saldo ada tp untuk transfer apa top up sulit ke galeri di suruh tunggu info dari Jakarta sampai sekarang masih belum bisa,5,Positif
Bagus,5,Positif
"Seiring jamannya digital ternyata Pos Aja masih kalah sama ekpedisi marketplace. Sms verifikasi aja lemotnya minta ampun, kayakny pos blm siap untuk teknologi digital, gmn mau maju, gmn mau bersaing.",1,Negatif
Ok,5,Positif
Good,5,Positif
Mantap,5,Positif
baru pertama kali coba aplikasi ini untuk jualan online semoga membantu dan lancar,5,Positif
"bagus sih. tpi perlu di tingkatkan lagi untuk info trackingnya biar bisa melacak paket ter update, dan untuk pencairan dana COD nya juga belum maksimal sehingga bingung saldo yang mana yg sudah masuk atau yang belum masuk.",5,Positif
"Jelek pengiriman ga jelas,minta tempat drop out ga di kasih,minta nomor kurir ga di kasih,ngomong sama admin malah tambah ga jelas",1,Negatif
oke,5,Positif
Mantap,5,Positif
sangat membantu sekali..,5,Positif
Good,5,Positif
